 ========================================================================
 Mesh information:
 Nx =                   15     -    Ny =                    15
  
 Slab dimensions:
 X(m) =    1.0000000000000000          -    Y(m) =   0.20000000000000001     
                                                                         
                                                                         
 ========================================================================
 Npos =  1
      Time(s)        X(m)        Y(m)     Temp(K)  Cp(J/kg.K) K(W/sq-m.K)
   17200.0000      0.0000      0.0143   1397.5439    703.0000     48.5946
   17400.0000      0.0000      0.0143   1397.5397    703.0000     48.5944
   17600.0000      0.0000      0.0143   1397.5361    703.0000     48.5942
   17800.0000      0.0000      0.0143   1397.5330    703.0000     48.5940
   18000.0000      0.0000      0.0143   1397.5304    703.0000     48.5939
   18200.0000      0.0000      0.0143   1397.5282    703.0000     48.5938
   18400.0000      0.0000      0.0143   1397.5263    703.0000     48.5936
                                                                         
                                                                         
 ========================================================================
 Npos =  3
      Time(s)        X(m)        Y(m)     Temp(K)  Cp(J/kg.K) K(W/sq-m.K)
       0.0000      0.0000      0.0429    300.0000    478.5730     62.2137
     200.0000      0.0000      0.0429    449.7636    492.1474     55.8948
     400.0000      0.0000      0.0429    557.6059    564.6171     50.8935
     600.0000      0.0000      0.0429    645.5642    610.1050     47.0086
     800.0000      0.0000      0.0429    721.1046    637.4095     44.0353
    1000.0000      0.0000      0.0429    786.3812    664.8242     41.8552
    1140.0000      0.0000      0.0429    827.1696    692.5861     40.7142
    1340.0000      0.0000      0.0429    935.5071    864.5885     38.6465
    1540.0000      0.0000      0.0429   1014.5363   1156.5988     38.1243
    1740.0000      0.0000      0.0429   1087.5516    941.7688     38.4432
    1940.0000      0.0000      0.0429   1148.5437    787.8551     39.3201
    2140.0000      0.0000      0.0429   1195.0173    716.4317     40.3646
    2340.0000      0.0000      0.0429   1230.7290    703.0000     41.3872
    2540.0000      0.0000      0.0429   1259.4262    703.0000     42.3460
    2740.0000      0.0000      0.0429   1283.3611    703.0000     43.2376
    2940.0000      0.0000      0.0429   1303.6609    703.0000     44.0584
    3060.0000      0.0000      0.0429   1314.6540    703.0000     44.5272
    3260.0000      0.0000      0.0429   1366.0955    703.0000     46.9433
    3460.0000      0.0000      0.0429   1399.1247    703.0000     48.6810
    3660.0000      0.0000      0.0429   1421.7185    703.0000     49.9498
    3860.0000      0.0000      0.0429   1438.3962    703.0000     50.9266
    4060.0000      0.0000      0.0429   1451.3770    703.0000     51.7098
    4260.0000      0.0000      0.0429   1461.8011    703.0000     52.3530
    4460.0000      0.0000      0.0429   1470.3200    703.0000     52.8878
    4660.0000      0.0000      0.0429   1477.3517    703.0000     53.3353
    4860.0000      0.0000      0.0429   1483.1896    703.0000     53.7110
    4980.0000      0.0000      0.0429   1486.3154    703.0000     53.9137
    5180.0000      0.0000      0.0429   1486.9278    703.0000     53.9535
    5380.0000      0.0000      0.0429   1488.7675    703.0000     54.0734
    5580.0000      0.0000      0.0429   1490.9391    703.0000     54.2155
    5780.0000      0.0000      0.0429   1493.0429    703.0000     54.3535
    5980.0000      0.0000      0.0429   1494.9387    703.0000     54.4783
    6180.0000      0.0000      0.0429   1496.5937    703.0000     54.5876
    6380.0000      0.0000      0.0429   1498.0158    703.0000     54.6817
    6580.0000      0.0000      0.0429   1499.2278    703.0000     54.7621
    6780.0000      0.0000      0.0429   1500.2555    703.0000     54.8304
    6980.0000      0.0000      0.0429   1501.1245    703.0000     54.8882
    7180.0000      0.0000      0.0429   1501.8580    703.0000     54.9370
    7380.0000      0.0000      0.0429   1502.4761    703.0000     54.9783
    7580.0000      0.0000      0.0429   1502.9967    703.0000     55.0130
    7780.0000      0.0000      0.0429   1503.4349    703.0000     55.0423
    7980.0000      0.0000      0.0429   1503.8035    703.0000     55.0669
    8180.0000      0.0000      0.0429   1504.1134    703.0000     55.0877
    8380.0000      0.0000      0.0429   1504.3740    703.0000     55.1051
    8400.0000      0.0000      0.0429   1504.3996    703.0000     55.1068
    8600.0000      0.0000      0.0429   1466.5585    703.0000     52.6506
    8800.0000      0.0000      0.0429   1446.0723    703.0000     51.3873
    9000.0000      0.0000      0.0429   1433.9847    703.0000     50.6649
    9200.0000      0.0000      0.0429   1426.0825    703.0000     50.2021
    9400.0000      0.0000      0.0429   1420.4931    703.0000     49.8793
    9600.0000      0.0000      0.0429   1416.3259    703.0000     49.6412
    9800.0000      0.0000      0.0429   1413.1122    703.0000     49.4590
   10000.0000      0.0000      0.0429   1410.5782    703.0000     49.3162
   10200.0000      0.0000      0.0429   1408.5495    703.0000     49.2025
   10400.0000      0.0000      0.0429   1406.9075    703.0000     49.1108
   10600.0000      0.0000      0.0429   1405.5673    703.0000     49.0363
   10800.0000      0.0000      0.0429   1404.4664    703.0000     48.9752
   11000.0000      0.0000      0.0429   1403.5572    703.0000     48.9249
   11200.0000      0.0000      0.0429   1402.8030    703.0000     48.8832
   11400.0000      0.0000      0.0429   1402.1750    703.0000     48.8485
   11600.0000      0.0000      0.0429   1401.6505    703.0000     48.8196
   11800.0000      0.0000      0.0429   1401.2111    703.0000     48.7955
   12000.0000      0.0000      0.0429   1400.8425    703.0000     48.7752
   12200.0000      0.0000      0.0429   1400.5322    703.0000     48.7582
   12400.0000      0.0000      0.0429   1400.2705    703.0000     48.7438
   12600.0000      0.0000      0.0429   1400.0494    703.0000     48.7317
   12800.0000      0.0000      0.0429   1399.8624    703.0000     48.7214
   13000.0000      0.0000      0.0429   1399.7040    703.0000     48.7127
   13200.0000      0.0000      0.0429   1399.5697    703.0000     48.7054
   13400.0000      0.0000      0.0429   1399.4556    703.0000     48.6991
   13600.0000      0.0000      0.0429   1399.3586    703.0000     48.6938
   13800.0000      0.0000      0.0429   1399.2761    703.0000     48.6893
   14000.0000      0.0000      0.0429   1399.2059    703.0000     48.6854
   14200.0000      0.0000      0.0429   1399.1461    703.0000     48.6822
   14400.0000      0.0000      0.0429   1399.0951    703.0000     48.6794
   14600.0000      0.0000      0.0429   1399.0515    703.0000     48.6770
   14800.0000      0.0000      0.0429   1399.0144    703.0000     48.6749
   15000.0000      0.0000      0.0429   1398.9826    703.0000     48.6732
   15200.0000      0.0000      0.0429   1398.9554    703.0000     48.6717
   15400.0000      0.0000      0.0429   1398.9322    703.0000     48.6704
