 ========================================================================
 Mesh information:
 Nx =                  121     -    Ny =                   121
  
 Slab dimensions:
 X(m) =    1.0000000000000000          -    Y(m) =   0.20000000000000001     
                                                                         
                                                                         
 ========================================================================
 Npos =  1
      Time(s)        X(m)        Y(m)     Temp(K)  Cp(J/kg.K) K(W/sq-m.K)
    4980.0000      0.0000      0.0250   1488.3807    703.0000     54.0482
    5180.0000      0.0000      0.0250   1487.6441    703.0000     54.0002
    5380.0000      0.0000      0.0250   1489.3948    703.0000     54.1144
    5580.0000      0.0000      0.0250   1491.4268    703.0000     54.2474
    5780.0000      0.0000      0.0250   1493.3601    703.0000     54.3744
    5980.0000      0.0000      0.0250   1495.0902    703.0000     54.4883
    6180.0000      0.0000      0.0250   1496.5917    703.0000     54.5874
    6380.0000      0.0000      0.0250   1497.8811    703.0000     54.6728
    6580.0000      0.0000      0.0250   1498.9845    703.0000     54.7459
    6780.0000      0.0000      0.0250   1499.9170    703.0000     54.8079
    6980.0000      0.0000      0.0250   1500.7064    703.0000     54.8603
    7180.0000      0.0000      0.0250   1501.3772    703.0000     54.9050
    7380.0000      0.0000      0.0250   1501.9393    703.0000     54.9425
    7580.0000      0.0000      0.0250   1502.4115    703.0000     54.9740
    7780.0000      0.0000      0.0250   1502.8094    703.0000     55.0005
    7980.0000      0.0000      0.0250   1503.1481    703.0000     55.0231
    8180.0000      0.0000      0.0250   1503.4293    703.0000     55.0419
    8380.0000      0.0000      0.0250   1503.6710    703.0000     55.0581
    8400.0000      0.0000      0.0250   1503.6938    703.0000     55.0596
    8600.0000      0.0000      0.0250   1456.6629    703.0000     52.0344
    8800.0000      0.0000      0.0250   1439.1698    703.0000     50.9727
    9000.0000      0.0000      0.0250   1429.2568    703.0000     50.3871
    9200.0000      0.0000      0.0250   1422.6484    703.0000     50.0033
    9400.0000      0.0000      0.0250   1417.8509    703.0000     49.7281
    9600.0000      0.0000      0.0250   1414.2117    703.0000     49.5212
    9800.0000      0.0000      0.0250   1411.3768    703.0000     49.3611
   10000.0000      0.0000      0.0250   1409.1300    703.0000     49.2350
   10200.0000      0.0000      0.0250   1407.3273    703.0000     49.1342
   10400.0000      0.0000      0.0250   1405.8579    703.0000     49.0524
   10600.0000      0.0000      0.0250   1404.6634    703.0000     48.9861
   10800.0000      0.0000      0.0250   1403.6817    703.0000     48.9317
   11000.0000      0.0000      0.0250   1402.8647    703.0000     48.8866
   11200.0000      0.0000      0.0250   1402.1939    703.0000     48.8496
   11400.0000      0.0000      0.0250   1401.6276    703.0000     48.8184
   11600.0000      0.0000      0.0250   1401.1621    703.0000     48.7928
   11800.0000      0.0000      0.0250   1400.7650    703.0000     48.7709
   12000.0000      0.0000      0.0250   1400.4286    703.0000     48.7525
   12200.0000      0.0000      0.0250   1400.1543    703.0000     48.7374
   12400.0000      0.0000      0.0250   1399.9176    703.0000     48.7244
   12600.0000      0.0000      0.0250   1399.7158    703.0000     48.7134
   12800.0000      0.0000      0.0250   1399.5445    703.0000     48.7040
   13000.0000      0.0000      0.0250   1399.4017    703.0000     48.6961
   13200.0000      0.0000      0.0250   1399.2807    703.0000     48.6895
   13400.0000      0.0000      0.0250   1399.1780    703.0000     48.6839
   13600.0000      0.0000      0.0250   1399.0888    703.0000     48.6790
   13800.0000      0.0000      0.0250   1399.0144    703.0000     48.6749
   14000.0000      0.0000      0.0250   1398.9454    703.0000     48.6712
   14200.0000      0.0000      0.0250   1398.8914    703.0000     48.6682
   14400.0000      0.0000      0.0250   1398.8458    703.0000     48.6657
   14600.0000      0.0000      0.0250   1398.8027    703.0000     48.6634
   14800.0000      0.0000      0.0250   1398.7724    703.0000     48.6617
   15000.0000      0.0000      0.0250   1398.7407    703.0000     48.6600
   15200.0000      0.0000      0.0250   1398.7132    703.0000     48.6585
   15400.0000      0.0000      0.0250   1398.6943    703.0000     48.6574
   15600.0000      0.0000      0.0250   1398.6733    703.0000     48.6563
   15800.0000      0.0000      0.0250   1398.6558    703.0000     48.6553
   16000.0000      0.0000      0.0250   1398.6464    703.0000     48.6548
   16200.0000      0.0000      0.0250   1398.6339    703.0000     48.6541
   16400.0000      0.0000      0.0250   1398.6221    703.0000     48.6535
   16600.0000      0.0000      0.0250   1398.6136    703.0000     48.6530
   16800.0000      0.0000      0.0250   1398.6053    703.0000     48.6526
   17000.0000      0.0000      0.0250   1398.5971    703.0000     48.6521
   17200.0000      0.0000      0.0250   1398.5965    703.0000     48.6521
   17400.0000      0.0000      0.0250   1398.5927    703.0000     48.6519
   17600.0000      0.0000      0.0250   1398.5889    703.0000     48.6517
   17800.0000      0.0000      0.0250   1398.5850    703.0000     48.6515
   18000.0000      0.0000      0.0250   1398.5812    703.0000     48.6512
   18200.0000      0.0000      0.0250   1398.5773    703.0000     48.6510
   18400.0000      0.0000      0.0250   1398.5770    703.0000     48.6510
                                                                         
                                                                         
 ========================================================================
 Npos =  3
      Time(s)        X(m)        Y(m)     Temp(K)  Cp(J/kg.K) K(W/sq-m.K)
       0.0000      0.0000      0.0500    300.0000    478.5730     62.2137
     200.0000      0.0000      0.0500    465.6512    502.5115     55.1611
     400.0000      0.0000      0.0500    569.2161    571.6995     50.3632
     600.0000      0.0000      0.0500    654.1896    613.5829     46.6488
     800.0000      0.0000      0.0500    727.5241    639.6606     43.8033
    1000.0000      0.0000      0.0500    791.2913    667.5590     41.7083
    1140.0000      0.0000      0.0500    831.3166    696.1721     40.6086
    1340.0000      0.0000      0.0500    959.1560    932.7443     38.3986
    1540.0000      0.0000      0.0500   1034.0072   1127.2774     38.1325
    1740.0000      0.0000      0.0500   1093.9595    922.6011     38.5090
    1940.0000      0.0000      0.0500   1144.5355    795.9430     39.2452
    2140.0000      0.0000      0.0500   1187.1642    725.5305     40.1652
    2340.0000      0.0000      0.0500   1222.9189    703.0000     41.1474
    2540.0000      0.0000      0.0500   1252.7624    703.0000     42.1126
    2740.0000      0.0000      0.0500   1277.6514    703.0000     43.0174
    2940.0000      0.0000      0.0500   1298.6023    703.0000     43.8483
    3060.0000      0.0000      0.0500   1309.9076    703.0000     44.3227
    3260.0000      0.0000      0.0500   1366.6831    703.0000     46.9730
    3460.0000      0.0000      0.0500   1396.7756    703.0000     48.5527
    3660.0000      0.0000      0.0500   1418.3280    703.0000     49.7553
    3860.0000      0.0000      0.0500   1434.9412    703.0000     50.7215
    4060.0000      0.0000      0.0500   1448.2114    703.0000     51.5170
    4260.0000      0.0000      0.0500   1458.9886    703.0000     52.1782
    4460.0000      0.0000      0.0500   1467.8566    703.0000     52.7323
    4660.0000      0.0000      0.0500   1475.1899    703.0000     53.1971
    4860.0000      0.0000      0.0500   1481.2929    703.0000     53.5885
    4980.0000      0.0000      0.0500   1484.5543    703.0000     53.7994
    5180.0000      0.0000      0.0500   1484.9647    703.0000     53.8260
    5380.0000      0.0000      0.0500   1487.3211    703.0000     53.9791
    5580.0000      0.0000      0.0500   1489.7809    703.0000     54.1397
    5780.0000      0.0000      0.0500   1492.0597    703.0000     54.2889
    5980.0000      0.0000      0.0500   1494.0775    703.0000     54.4216
    6180.0000      0.0000      0.0500   1495.8194    703.0000     54.5364
    6380.0000      0.0000      0.0500   1497.3108    703.0000     54.6350
    6580.0000      0.0000      0.0500   1498.5846    703.0000     54.7194
    6780.0000      0.0000      0.0500   1499.6601    703.0000     54.7908
    6980.0000      0.0000      0.0500   1500.5698    703.0000     54.8513
    7180.0000      0.0000      0.0500   1501.3426    703.0000     54.9027
    7380.0000      0.0000      0.0500   1501.9899    703.0000     54.9458
    7580.0000      0.0000      0.0500   1502.5336    703.0000     54.9821
    7780.0000      0.0000      0.0500   1502.9916    703.0000     55.0127
    7980.0000      0.0000      0.0500   1503.3816    703.0000     55.0387
    8180.0000      0.0000      0.0500   1503.7053    703.0000     55.0604
    8380.0000      0.0000      0.0500   1503.9834    703.0000     55.0790
    8400.0000      0.0000      0.0500   1504.0097    703.0000     55.0807
    8600.0000      0.0000      0.0500   1462.0512    703.0000     52.3685
    8800.0000      0.0000      0.0500   1444.9362    703.0000     51.3187
    9000.0000      0.0000      0.0500   1434.3839    703.0000     50.6885
    9200.0000      0.0000      0.0500   1427.0744    703.0000     50.2598
    9400.0000      0.0000      0.0500   1421.6831    703.0000     49.9477
    9600.0000      0.0000      0.0500   1417.5674    703.0000     49.7119
    9800.0000      0.0000      0.0500   1414.3532    703.0000     49.5292
   10000.0000      0.0000      0.0500   1411.8030    703.0000     49.3851
   10200.0000      0.0000      0.0500   1409.7560    703.0000     49.2701
   10400.0000      0.0000      0.0500   1408.0869    703.0000     49.1766
   10600.0000      0.0000      0.0500   1406.7299    703.0000     49.1009
   10800.0000      0.0000      0.0500   1405.6146    703.0000     49.0389
   11000.0000      0.0000      0.0500   1404.6864    703.0000     48.9874
