 ========================================================================
 Mesh information:
 Nx =                    3     -    Ny =                     3
  
 Slab dimensions:
 X(m) =    1.0000000000000000          -    Y(m) =   0.20000000000000001     
                                                                         
                                                                         
 ========================================================================
 Npos =  1
      Time(s)        X(m)        Y(m)     Temp(K)  Cp(J/kg.K) K(W/sq-m.K)
    7780.0000      0.0000      0.1000   1507.4297    703.0000     55.3101
    7980.0000      0.0000      0.1000   1507.8250    703.0000     55.3366
    8180.0000      0.0000      0.1000   1508.1488    703.0000     55.3584
    8380.0000      0.0000      0.1000   1508.4143    703.0000     55.3763
    8400.0000      0.0000      0.1000   1508.4403    703.0000     55.3780
    8600.0000      0.0000      0.1000   1494.0135    703.0000     54.4174
    8800.0000      0.0000      0.1000   1479.5104    703.0000     53.4738
    9000.0000      0.0000      0.1000   1466.5836    703.0000     52.6522
    9200.0000      0.0000      0.1000   1455.6244    703.0000     51.9704
    9400.0000      0.0000      0.1000   1446.5504    703.0000     51.4163
    9600.0000      0.0000      0.1000   1439.1244    703.0000     50.9700
    9800.0000      0.0000      0.1000   1433.0813    703.0000     50.6116
   10000.0000      0.0000      0.1000   1428.1759    703.0000     50.3240
   10200.0000      0.0000      0.1000   1424.1973    703.0000     50.0928
   10400.0000      0.0000      0.1000   1420.9698    703.0000     49.9067
   10600.0000      0.0000      0.1000   1418.3500    703.0000     49.7566
   10800.0000      0.0000      0.1000   1416.2215    703.0000     49.6352
   11000.0000      0.0000      0.1000   1414.4904    703.0000     49.5369
   11200.0000      0.0000      0.1000   1413.0808    703.0000     49.4572
   11400.0000      0.0000      0.1000   1411.9317    703.0000     49.3924
   11600.0000      0.0000      0.1000   1410.9938    703.0000     49.3396
   11800.0000      0.0000      0.1000   1410.2275    703.0000     49.2965
   12000.0000      0.0000      0.1000   1409.6004    703.0000     49.2613
   12200.0000      0.0000      0.1000   1409.0868    703.0000     49.2326
   12400.0000      0.0000      0.1000   1408.6656    703.0000     49.2090
   12600.0000      0.0000      0.1000   1408.3197    703.0000     49.1896
   12800.0000      0.0000      0.1000   1408.0353    703.0000     49.1738
   13000.0000      0.0000      0.1000   1407.8013    703.0000     49.1607
   13200.0000      0.0000      0.1000   1407.6083    703.0000     49.1499
   13400.0000      0.0000      0.1000   1407.4491    703.0000     49.1410
   13600.0000      0.0000      0.1000   1407.3176    703.0000     49.1337
   13800.0000      0.0000      0.1000   1407.2088    703.0000     49.1276
   14000.0000      0.0000      0.1000   1407.1186    703.0000     49.1226
   14200.0000      0.0000      0.1000   1407.0439    703.0000     49.1184
   14400.0000      0.0000      0.1000   1406.9818    703.0000     49.1150
   14600.0000      0.0000      0.1000   1406.9302    703.0000     49.1121
   14800.0000      0.0000      0.1000   1406.8872    703.0000     49.1097
   15000.0000      0.0000      0.1000   1406.8515    703.0000     49.1077
   15200.0000      0.0000      0.1000   1406.8216    703.0000     49.1060
   15400.0000      0.0000      0.1000   1406.7966    703.0000     49.1047
   15600.0000      0.0000      0.1000   1406.7758    703.0000     49.1035
   15800.0000      0.0000      0.1000   1406.7583    703.0000     49.1025
   16000.0000      0.0000      0.1000   1406.7437    703.0000     49.1017
   16200.0000      0.0000      0.1000   1406.7314    703.0000     49.1010
   16400.0000      0.0000      0.1000   1406.7211    703.0000     49.1004
   16600.0000      0.0000      0.1000   1406.7124    703.0000     49.1000
   16800.0000      0.0000      0.1000   1406.7051    703.0000     49.0996
